beta,eta_l,eta_h,epsilon,mu,nu,psi,rho,sigma,prev_Ash,prev_Asl,kappa,notifiedprev
0.38503214,0.372465265,0.501504525,0.774669294,155.958533,2.601954931,0.125091328,60.99367484,79.15374224,0.086369792,0.008983249,1,0.38
0.589586864,0.405005227,0.716505622,0.107095969,235.2759587,4.771671072,0.088623955,52.27384985,79.60177392,0.056275077,0.006519964,1,0.38
0.320866231,0.308848368,0.780705731,0.95849614,253.8946503,2.350833923,0.180208214,43.66592514,106.0130809,0.041410151,0.008717417,1,0.38
0.324096401,0.339980295,0.620758257,0.884111543,266.237109,1.972118277,0.180737002,57.10485272,98.50068931,0.051263438,0.007646101,1,0.38
0.33339511,0.323719316,0.851065929,0.071863372,213.8526793,2.107661765,0.191321327,63.80381304,110.5229015,0.040851689,0.007269136,1,0.38
0.398305808,0.301755562,1.171213528,0.308429128,159.837534,2.749494233,0.19726616,45.32057758,72.73695065,0.046862656,0.0081151,1,0.38
0.350553599,0.327457899,0.704770526,0.274337927,160.7093458,2.376086334,0.151308487,66.3878204,62.96464524,0.056182386,0.008484197,1,0.38
0.26740275,0.355298717,0.798553288,0.932854661,127.5039805,1.821137961,0.215710506,61.26259453,118.3150553,0.057696221,0.004195555,1,0.38
0.363470889,0.363085478,0.735785033,0.390832533,128.7689556,2.434537351,0.143588374,48.12709486,109.8995018,0.085409477,0.003612588,1,0.38
0.358801304,0.28092731,1.230294679,0.772673219,83.93744619,2.330020219,0.236929946,55.10429811,109.5546723,0.037803329,0.006268435,1,0.38
0.448043923,0.285624766,1.273965841,0.360175604,196.9444621,3.199252654,0.181690372,57.16698964,90.12554217,0.042176395,0.00994679,1,0.38
0.393131435,0.351646445,0.684176094,0.500528391,106.5619852,2.906344728,0.134763518,54.04295866,80.94165715,0.063393756,0.005823687,1,0.38
0.358378109,0.372757855,0.783103655,0.891337592,348.8844201,2.783832998,0.157285974,49.4063136,50.21966416,0.063359226,0.001314179,1,0.38
0.453004943,0.35090857,0.861828428,0.296371405,163.4480424,3.60857561,0.121515084,64.58072285,68.75393246,0.064556653,0.005202906,1,0.38
0.305361967,0.336252691,1.03049721,0.824059439,149.7711648,2.107509458,0.218743146,57.99457555,85.06127294,0.045842157,0.009226648,1,0.38
0.360212997,0.362979829,0.707255086,0.1773252,363.297794,2.340671839,0.157966919,56.09004832,92.77656417,0.045607042,0.009227266,1,0.38
0.389104141,0.365786031,0.620392733,0.684442141,371.5756955,2.947674689,0.145010461,47.62464734,108.1193582,0.04266214,0.009366511,1,0.38
0.445120804,0.298050382,1.205298929,0.196556659,122.5277713,3.223567863,0.185594077,43.57620977,69.16883671,0.035721768,0.008462333,1,0.38
0.342181362,0.364092913,0.748350187,0.944553611,200.8326947,2.585288009,0.181996411,48.95764281,96.00490712,0.056988452,0.008052632,1,0.38
0.457579085,0.308953133,0.961887547,0.709609916,158.2359741,3.821705409,0.145291792,57.77572091,123.9764975,0.047057729,0.005442921,1,0.38
0.293176035,0.321356192,0.902573729,0.278933278,180.1182077,1.662387516,0.227709071,48.26798104,82.37571207,0.052410035,0.008072945,1,0.38
0.291396664,0.387374172,0.477582343,0.759096211,84.87986438,1.78157321,0.156645664,54.42016225,116.1355836,0.05985168,0.009910153,1,0.38
0.294671064,0.394361047,0.587885934,0.482225457,343.8609083,1.906074493,0.168739759,60.09107136,86.54272874,0.052037932,0.005773846,1,0.38
0.554862732,0.344312015,0.797284244,0.642403,209.9382808,4.959542272,0.094107344,51.2984878,46.42423985,0.07490694,0.001812143,1,0.38
0.438069176,0.373963974,0.664224812,0.735334825,112.5597472,3.39229043,0.120430633,65.25080937,96.21579748,0.068229498,0.00183614,1,0.38
0.41759915,0.222309924,1.677765404,0.762133127,158.4102456,2.674064469,0.255770424,56.88048542,100.7494352,0.02862292,0.00373466,1,0.38
0.620661759,0.313247156,0.79700152,0.730795546,226.9664996,5.762455442,0.098736149,46.91837792,123.7842349,0.041666739,0.005788661,1,0.38
0.369080687,0.339351251,0.826278745,0.741527634,163.3372389,3.026895984,0.158531946,51.53424609,78.30812025,0.041839164,0.007094101,1,0.38
0.429193525,0.330116273,0.681719263,0.959513387,513.9720188,3.342999046,0.130376869,54.90305682,178.3095661,0.067732795,0.006336918,1,0.38
0.415123525,0.272825281,0.891264566,0.980031855,119.8630095,3.389441998,0.143098825,54.2738455,119.5785447,0.054572441,0.007105201,1,0.38
0.39578793,0.431500676,0.629180477,0.131657485,243.1595031,2.822538543,0.126809978,50.91076805,80.65313552,0.066155686,0.006581295,1,0.38
0.272186732,0.380759696,0.5088795,0.620618402,251.9715069,1.633017594,0.184333606,63.06514432,159.6957576,0.067335419,0.004170855,1,0.38
0.309059841,0.351465358,0.664486095,0.660096437,132.4210535,2.029619005,0.175855089,55.95931932,64.14845578,0.050232186,0.008176567,1,0.38
0.305002658,0.48169846,0.592114275,0.351436283,113.2341049,1.918418601,0.148248083,55.1848862,190.6624343,0.075936011,0.002120886,1,0.38
0.380975911,0.431186473,0.580254826,0.354949354,111.7459141,2.959233526,0.114561382,62.39425119,94.23855458,0.073516406,0.007413559,1,0.38
